Original Or User Submitted,Direct Famous Quote,90's Generic Line, 2000's Generic Quote,Inspired by a Song Name
Savage,I'm always hanging with shooters (Lil Uzi Vert),Nutty buddy,I keep the uzi,Stick Talk
Limp biscuits,Ren said it with authority (MC Ren),Money talks,I just wanted you to know,Talk is cheap
With an 80s funk,My money on my mind (Snoop Dogg),Ooh baby,Shotie want a thug,It wasn't me
Squad,I got 99 problems (Ice T),I have to testify,So turn the kid raps loud,Birds and the bees
Hot off the skillet,It's like a jungle sometimes (Grand Master Flash and the Furious Five),Gangstas walk,It's been a long time,I'm on a boat
Lickety split,How you take my '09 jail tweet and run? (Remy Ma),Pop a squat,So I call her big booty,Skinny love
Please and thank you,Talkin' about bringin' knives to a fight with guns (Remy Ma),Never let it go,When it comes to sex,Crazy stupid love
Smoothered by the rest,You will never know what I was in (Future),I'll sleep when I'm dead,That's that shit I dont like,How to love?
Preach,"Quick with the hands, ready (Frank Ocean)",A diamond ring,Drug dealer sheik,Bubble butt
I call that jungle fever,I said a hip hop (Wonder Mike),Trouble holds me,Everythings for sale,Not in my house (Nelly)
Tested by the best,Trouble on my mind (Chuck D),You just stuck in a loop,The feeling just comes and goes,The choice is yours (Black Sheep)
Moving down the track,His palms are sweaty (Eminem),Just hustling through,I don't get weak in the knees,Can I kick It (Tribe Called Quest)
Once in a lifetime,It was all a dream (The Notorious B.I.G),Who needs an enemy,I just wanted you to know,Do I Want to Know
Caught up with the bass,Y'all make this shit sound so easy (J. Cole),Mirror on the wall,Your booty is mine,I wish I knew you
Back it up,When my tongue goes down below (The Notorious B.I.G),It's going up,I got that A1 credit,Somewhere over the rainbow
I did it without one,If I could say what's on my mind (Iamsu),You with a star,Run for my money,If heaven was a mile away (Nas)
I bought with old money ,Had a lot of crock try to steal your heart (Lil Wayne),So fresh I keep it breeze,Second chances are a beautiful thing,Flashing Lights
Where's my grammy,First name greatest (Drake),I'm easy,I was the one I did it,Famous…
It won't happen oh no,She had a bad hip like a fanny pack (Kanye West),Don't call it a comeback,Your far from the usual,Bad and Boujee
Bearer of bad news,Wake up and smell the garden (Lil Wayne),And if I die for before I wake,It may not mean nothing to y'all,What's going on
The greatest story ever told,This one right here is for the people (Nas),Can I get a witness,She the one for me,
To a women so heartless,Whose world is this (Nas),When I die,Life is like a rollarcoaster right before it drops,
How could you be so…,And you can’t beat that with a  bat (Black Sheep),First things first,My foots sleeping on the gas,
What do I know,To all my peoples in the struggle (The Notorious B.I.G),You with a star,Felt the body turn cold,
Wake up,I love it when they call me big poppa (The Notorious B.I.G),Don't push me,I'd rather be alive,
,"Harder, Better, Faster, Stronger (Kanye West)",I ain't a killer,State of mind,
,You'll never find nonody better than me (Kanye West),You're just mad cause you're ass is old,I got some down b____ I can call,
,"Okay, lamborghini mercy (Kanye West)",Who made up words,I'm on that good…,
,No one man should have all that power (Kanye West),You might catch me on move,Stay woke,
,I don't blame you much for wanting to be free (Rihanna),This or that,From nothing to something,
,,If my train goes off the track,,
,,Do da dippity,,
,,That's what I love,,
,,Would you try to die today,,
,,____ try to rob the gates,,
